fips code,Count_Star
17031,42889
12011,6460
48135,361
19037,34
06059,9952
48141,2483
26065,1675
12001,1394
29095,6129
27145,327
12057,7764
39035,8033
35005,883
01073,2969
06065,5534
39113,1422
41039,1178
48209,850
22033,2062
06099,803
53067,1808
27053,9112
13083,18
24031,5304
39085,180
27019,85
48165,93
48323,368
13089,443
37055,116
41029,668
54107,377
24027,670
22055,616
36091,621
56025,3677
06087,1456
39101,31
38017,396
06013,860
20137,259
36021,219
27131,82
47097,74
45063,301
42129,109
38041,2750
29051,336
42077,1077
47149,604
55031,72
06007,96
29077,597
01055,207
42011,317
39041,460
29073,20
48339,1097
39001,80
55103,422
41023,143
40089,689
13163,100
42047,29
39165,338
33003,143
27109,601
34023,1224
13021,250
51195,288
01061,152
35049,1517
39151,309
23003,45
22019,236
39025,824
40021,99
54103,65
09007,293
26017,76
06025,193
13073,106
24017,186
06113,201
40085,113
34005,781
55093,83
20029,305
19015,41
24009,196
13153,94
37035,81
08051,72
28067,41
37023,31
40071,14
39015,18
41035,67
48231,104
55135,38
50023,99
48277,57
13127,51
40125,48
18169,150
42119,50
17059,78
51165,112
37071,94
30039,124
09005,51
46105,25
13095,32
47119,108
27113,19
13039,77
01023,98
13223,79
54027,70
34019,122
32023,118
41043,257
05069,16
18043,87
42083,64
05015,139
48397,155
29023,50
29091,53
35017,52
36101,33
37031,65
39133,304
37039,18
26041,43
19079,48
54049,34
24029,102
45047,175
28087,61
18175,47
01071,33
48401,24
47025,159
19187,28
20057,13
01113,40
38099,54
30013,85
37083,20
37093,23
37139,33
01127,51
24019,99
01001,52
48115,35
51029,39
39055,18
28125,16
53049,58
21125,66
41027,26
21077,25
01005,20
29223,7
40023,96
17093,32
12125,45
55081,4
42033,14
46091,86
29167,30
48435,57
21191,42
01025,17
40099,11
20051,16
01051,5
50025,37
22005,2
48201,33035
36047,16165
41051,13814
48029,9968
06093,226
12021,1458
48131,48
36055,3388
12115,2129
48113,20346
17019,701
53053,2216
20091,1461
51107,534
25003,213
17043,1649
25015,702
41059,82
16027,312
13215,222
06081,2452
51003,124
41067,1488
33011,768
55009,447
21047,43
36063,391
49049,543
12081,1779
13135,664
48167,669
18095,181
17111,258
54005,136
09003,1971
55077,31
18127,120
40069,71
48471,131
54061,659
36109,781
25001,136
42049,378
48039,717
01101,655
38035,75
13189,104
06047,161
48423,362
12105,923
26019,84
40091,91
22017,509
46065,73
05007,272
48299,735
49027,13
33009,128
01015,121
13217,45
48091,234
13247,32
01039,73
18177,135
55101,188
41007,263
39173,208
08015,15
48183,265
17097,1070
50001,236
31099,80
12053,306
48007,87
36007,189
13175,51
53057,154
04027,276
17109,67
42063,65
54029,58
20135,53
36051,141
12113,238
47123,30
48449,43
19107,324
42013,24
54079,64
06031,92
36057,34
17007,42
39031,42
27007,46
48225,86
39149,46
27071,50
12017,170
53021,86
21015,123
06051,143
47189,117
21211,32
06101,74
26009,45
37125,64
26021,86
54045,63
39147,48
56033,42
29221,24
40131,52
22063,40
31177,27
45041,121
06039,127
30101,20
51117,44
22057,43
20157,46
51191,41
48477,20
37115,30
37195,42
06009,7
13015,57
24001,28
35006,39
27027,77
39023,29
27085,27
56013,45
08105,27
26033,22
54003,143
19025,66
38059,42
17083,35
54091,48
13139,149
05129,26
48025,6
53003,30
47059,27
47177,29
13169,25
08049,27
51171,27
29135,29
28045,28
36095,11
13191,4
06019,1838
36029,6004
37135,1746
04019,6374
21111,3954
51061,139
06037,73892
49035,5770
39017,488
19153,2193
17167,1042
35001,3445
17197,1904
06053,1600
17133,115
48203,53
48355,1164
26107,172
48041,785
34025,954
36103,8413
37001,389
56039,318
41047,1198
48491,1027
51041,430
51121,426
48121,1273
18105,649
46099,662
17161,160
18019,226
24021,492
47155,96
34029,1253
26055,385
13245,565
37159,48
20209,304
12111,513
23009,607
13051,892
39045,117
04025,562
20045,387
08069,752
36083,207
48133,41
12061,461
18163,426
26081,1248
28105,129
19169,266
36067,1506
56021,277
23019,186
36093,218
42055,646
40101,257
39127,243
32017,452
48451,100
26085,199
48409,9
48071,32
48349,45
32510,78
48375,485
17077,88
01117,145
17201,392
29097,170
34001,348
56029,35
13113,129
53015,101
19161,55
18067,146
36031,60
47069,238
05127,24
13109,43
21117,122
12055,81
48455,75
41061,36
27169,25
38101,116
01131,24
27049,83
36097,67
42037,48
51047,81
48467,54
12039,33
20111,69
29027,48
32033,113
48421,91
46103,213
54011,286
48297,23
49021,90
13291,51
12107,71
38015,82
13179,44
47105,58
36039,41
29217,38
18029,183
48049,36
21013,261
48291,73
18081,93
47143,41
09013,124
05019,41
13057,227
48463,26
48359,102
35035,113
37189,82
38037,91
37105,103
21021,33
37101,72
27151,18
27143,7
48413,97
32007,88
41019,44
31001,12
24035,152
53055,44
29187,41
20169,51
01095,145
37077,78
37151,52
13225,15
16065,10
13219,25
39157,19
12067,35
26061,41
48429,14
17091,65
28099,85
21093,78
28011,47
48213,44
37013,53
51051,17
54019,37
30015,24
42015,18
17095,15
29049,25
38033,61
18085,38
39123,15
42061,62
54099,2
26137,37
18151,6
23029,48
48199,20
28151,12
51089,18
37111,3
42097,2
06073,22643
39039,18
20021,2727
39049,7767
25017,7303
47157,7371
12086,18347
13121,28687
36081,6090
25021,1033
12031,4110
13067,1259
06001,2623
48085,2418
09001,2620
26049,456
13045,56
12095,9353
22109,29
34017,1795
36085,1310
17113,308
06083,405
29143,72
37089,360
40109,3464
53005,247
08035,328
39109,269
34009,590
48443,28
41065,70
51177,181
39119,98
48251,507
39091,158
56007,55
17143,369
23031,229
23005,727
23011,645
42043,1386
06057,255
48361,95
51085,191
35055,86
08005,852
53047,93
25011,162
12131,120
12097,349
21199,32
13031,82
12029,51
33013,359
48027,433
29055,23
06107,310
36079,553
10005,251
41003,356
17117,53
35039,713
08067,94
10001,326
12085,292
47009,409
47043,45
01081,485
18005,202
01003,457
36045,146
42095,321
05093,106
19013,401
36019,157
39141,155
26151,32
51067,132
04015,162
21195,133
26073,56
39057,133
42025,83
16057,83
28035,259
19155,136
39077,29
13063,161
42107,127
54069,75
39083,29
27003,213
04001,115
20037,81
24045,209
34035,357
51065,33
39139,160
01115,35
48265,50
37171,90
39129,63
40123,56
29161,69
42085,34
22105,76
06033,100
48367,144
35028,38
08019,19
36113,71
16005,40
48483,26
53059,23
40147,116
22097,45
51105,34
49011,57
39003,57
36011,105
41037,48
16047,39
48381,46
48037,90
35043,110
37199,118
27061,102
45075,46
21005,36
55089,151
37191,66
48189,18
18059,65
20061,12
41053,27
37019,43
20151,33
26025,91
13029,35
13275,12
17195,24
42111,57
27047,22
40039,14
05103,32
01121,22
29147,27
48107,151
29209,68
18061,40
48177,15
